"Codigo de barrio";"Codigo de distrito al que pertenece";"Nombre de barrio";"Nombre acentuado del barrio";"Superficie (m2)";"Perimetro (m)"
"01";"01";"PALACIO             ";"PALACIO             ";"001471085";"005754"
"01";"02";"IMPERIAL            ";"IMPERIAL            ";"000967500";"004557"
"01";"03";"PACIFICO            ";"PACÍFICO            ";"000750065";"004005"
"01";"04";"RECOLETOS           ";"RECOLETOS           ";"000870857";"003927"
"01";"05";"EL VISO             ";"EL VISO             ";"001708046";"005269"
"01";"06";"BELLAS VISTAS       ";"BELLAS VISTAS       ";"000716261";"003443"
"01";"07";"GAZTAMBIDE          ";"GAZTAMBIDE          ";"000506596";"002969"
"01";"08";"EL PARDO            ";"EL PARDO            ";"187642916";"087125"
"01";"09";"CASA DE CAMPO       ";"CASA DE CAMPO       ";"017470075";"019233"
"01";"10";"LOS CARMENES        ";"LOS CÁRMENES        ";"001292235";"006186"
"01";"11";"COMILLAS            ";"COMILLAS            ";"000665999";"004257"
"01";"12";"ORCASITAS           ";"ORCASITAS           ";"001356371";"004664"
"01";"13";"ENTREVIAS           ";"ENTREVÍAS           ";"005996932";"011057"
"01";"14";"PAVONES             ";"PAVONES             ";"001016979";"004134"
"01";"15";"VENTAS              ";"VENTAS              ";"003198045";"008207"
"01";"16";"PALOMAS             ";"PALOMAS             ";"001128602";"004988"
"01";"17";"SAN ANDRES          ";"SAN ANDRÉS          ";"009192451";"013710"
"01";"18";"CASCO H.VALLECAS    ";"CASCO H.VALLECAS    ";"049359337";"031924"
"01";"19";"CASCO H.VICALVARO   ";"CASCO H.VICÁLVARO   ";"032924620";"033326"
"01";"20";"SIMANCAS            ";"SIMANCAS            ";"002278418";"006678"
"01";"21";"ALAMEDA DE OSUNA    ";"ALAMEDA DE OSUNA    ";"001961904";"006043"
"02";"01";"EMBAJADORES         ";"EMBAJADORES         ";"001032822";"004267"
"02";"02";"ACACIAS             ";"ACACIAS             ";"001074172";"003950"
"02";"03";"ADELFAS             ";"ADELFAS             ";"000640692";"003584"
"02";"04";"GOYA                ";"GOYA                ";"000771228";"003473"
"02";"05";"PROSPERIDAD         ";"PROSPERIDAD         ";"001043284";"005250"
"02";"06";"CUATRO CAMINOS      ";"CUATRO CAMINOS      ";"001193509";"004366"
"02";"07";"ARAPILES            ";"ARAPILES            ";"000578534";"003096"
"02";"08";"FUENTELARREINA      ";"FUENTELARREINA      ";"001382646";"007691"
"02";"09";"ARGUELLES           ";"ARGUELLES           ";"000755758";"005245"
"02";"10";"PUERTA DEL ANGEL    ";"PUERTA DEL ÁNGEL    ";"001374799";"005373"
"02";"11";"OPAÑEL              ";"OPAÑEL              ";"001106597";"004492"
"02";"12";"ORCASUR             ";"ORCASUR             ";"001384234";"005962"
"02";"13";"SAN DIEGO           ";"SAN DIEGO           ";"001069944";"004726"
"02";"14";"HORCAJO             ";"HORCAJO             ";"000745503";"003901"
"02";"15";"PUEBLO NUEVO        ";"PUEBLO NUEVO        ";"002319230";"007746"
"02";"16";"PIOVERA             ";"PIOVERA             ";"003139060";"007812"
"02";"17";"SAN CRISTOBAL       ";"SAN CRISTÓBAL       ";"001106718";"004810"
"02";"18";"SANTA EUGENIA       ";"SANTA EUGENIA       ";"002070637";"006831"
"02";"19";"AMBROZ              ";"AMBROZ              ";"002354258";"008336"
"02";"20";"HELLIN              ";"HELLÍN              ";"000549031";"003988"
"02";"21";"AEROPUERTO          ";"AEROPUERTO          ";"025132277";"026448"
"03";"01";"CORTES              ";"CORTES              ";"000592070";"003731"
"03";"02";"CHOPERA             ";"CHOPERA             ";"000566358";"003203"
"03";"03";"ESTRELLA            ";"ESTRELLA            ";"001025805";"004441"
"03";"04";"FUENTE DEL BERRO    ";"FUENTE DEL BERRO    ";"000852579";"003886"
"03";"05";"CIUDAD JARDIN       ";"CIUDAD JARDÍN       ";"000762371";"003915"
"03";"06";"CASTILLEJOS         ";"CASTILLEJOS         ";"000708501";"003556"
"03";"07";"TRAFALGAR           ";"TRAFALGAR           ";"000611950";"003505"
"03";"08";"PEÑA GRANDE         ";"PEÑA GRANDE         ";"002890405";"007331"
"03";"09";"CIUDAD UNIVERSITARIA";"CIUDAD UNIVERSITARIA";"014248243";"019453"
"03";"10";"LUCERO              ";"LUCERO              ";"001679450";"005498"
