INCIDENTID,TYPE,DESCRIPTION,DATE,DISTRICT,STATE,ADDRESS,asWKT
146197799,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",2014-12-29,BAYVIEW,NONE,BLANKEN AV / GILLETTE AV,POINT(37.710995308161 -122.396482054254)
140757802,SUSPICIOUS_OCC,SUSPICIOUS OCCURRENCE,2014-12-29,MISSION,NONE,1000.0 Block of POTRERO AV,POINT(37.7568256145719 -122.406656623063)
140662405,ASSAULT,BATTERY,2014-12-29,SOUTHERN,COMPLAINANT REFUSES TO PROSECUTE,100.0 Block of 6TH ST,POINT(37.7808558853331 -122.408626028337)
140817036,OTHER_OFFENSES,POSSESSION OF BURGLARY TOOLS,2014-12-29,MISSION,"ARREST, BOOKED",2000.0 Block of MISSION ST,POINT(37.7639057653745 -122.419519291984)
140680162,LARCENY_THEFT,PETTY THEFT SHOPLIFTING,2014-12-29,SOUTHERN,"ARREST, BOOKED",700.0 Block of MISSION ST,POINT(37.7846237669087 -122.403890223654)
140821645,SUSPICIOUS_OCC,SUSPICIOUS OCCURRENCE,2014-12-29,BAYVIEW,NONE,CORTLAND AV / BAY SHORE BL,POINT(37.7395669609406 -122.406979507963)
140664796,OTHER_OFFENSES,TRAFFIC VIOLATION,2014-12-29,MISSION,"ARREST, CITED",23RD ST / CAPP ST,POINT(37.7539026122164 -122.417508586687)
140812462,DRUG_NARCOTIC,POSSESSION OF MARIJUANA FOR SALES,2014-12-29,SOUTHERN,NONE,800.0 Block of BRYANT ST,POINT(37.7752316978411 -122.403742962696)
140743613,ARSON,ARSON,2014-12-29,PARK,NONE,CLAYTON ST / TWINPEAKS BL,POINT(37.7610072307552 -122.446434498728)
140741184,NON_CRIMINAL,AIDED CASE,2014-12-29,TENDERLOIN,NONE,200.0 Block of JONES ST,POINT(37.7830494562119 -122.412465977545)
140810676,LARCENY_THEFT,PETTY THEFT FROM LOCKED AUTO,2014-12-29,CENTRAL,NONE,SUTTER ST / STOCKTON ST,POINT(37.7894347630337 -122.406958660602)
146179838,LARCENY_THEFT,GRAND THEFT FROM UNLOCKED AUTO,2014-12-29,PARK,NONE,HAYES ST / STANYAN ST,POINT(37.7728951613702 -122.454286690265)
140741015,LARCENY_THEFT,PETTY THEFT OF PROPERTY,2014-12-29,NORTHERN,NONE,GEARY BL / STEINER ST,POINT(37.7841504916183 -122.4345637373)
140772725,ASSAULT,CHILD ABUSE (PHYSICAL),2014-12-29,CENTRAL,NONE,400.0 Block of BAY ST,POINT(37.8054746066172 -122.414501928254)
140789560,LARCENY_THEFT,PETTY THEFT FROM LOCKED AUTO,2014-12-29,NORTHERN,NONE,BUSH ST / WEBSTER ST,POINT(37.7872308879586 -122.431816136158)
140679422,OTHER_OFFENSES,TRAFFIC VIOLATION ARREST,2014-12-29,TENDERLOIN,"ARREST, BOOKED",400.0 Block of JONES ST,POINT(37.7854113108876 -122.412937598297)
140710797,OTHER_OFFENSES,PROBATION VIOLATION,2014-12-29,CENTRAL,"ARREST, BOOKED",1200.0 Block of GRANT AV,POINT(37.7982298576472 -122.407058499788)
140695337,BURGLARY,"BURGLARY,STORE UNDER CONSTRUCTION, FORCIBLE ENTRY",2014-12-29,SOUTHERN,NONE,0.0 Block of BRYANT ST,POINT(37.7870569660287 -122.388314992865)
140739327,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",2014-12-29,TARAVAL,NONE,14TH AV / MORAGA ST,POINT(37.7563445000784 -122.470967156063)
140649572,VANDALISM,"MALICIOUS MISCHIEF, BREAKING WINDOWS",2014-12-29,SOUTHERN,NONE,600.0 Block of MARKET ST,POINT(37.7882595765474 -122.402711292528)
140691761,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",2014-12-29,MISSION,NONE,16TH ST / POTRERO AV,POINT(37.7657827544572 -122.407538332319)
140685623,BURGLARY,"BURGLARY OF STORE, UNLAWFUL ENTRY",2014-12-29,SOUTHERN,"ARREST, BOOKED",1100.0 Block of MARKET ST,POINT(37.7804430348854 -122.412499579078)
