INCIDENTID,CATEGORY,DESCRIPTION,DATE,DISTRICT,STATE,ADDRESS,asWKT
140741225,LARCENY THEFT,GRAND THEFT FROM LOCKED AUTO,03-09-2014,RICHMOND,NONE,500.0 Block of JOHNFKENNEDY DR,POINT(-122.465838183623 37.7724965522563)
140644839,LARCENY THEFT,PETTY THEFT FROM LOCKED AUTO,03-08-2014,SOUTHERN,NONE,200.0 Block of INTERSTATE80 HY,POINT(-122.370740926948 37.8170463264521)
146195066,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",21-09-2014,CENTRAL,NONE,500.0 Block of STOCKTON ST,POINT(-122.407233785652 37.7909728244986)
140662825,NON CRIMINAL,FOUND PROPERTY,09-08-2014,PARK,NONE,OAK ST / MASONIC AV,POINT(-122.445717668922 37.7720809772689)
146170024,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",20-08-2014,CENTRAL,NONE,THE EMBARCADERONORTH ST / CHESTNUT ST,POINT(-122.403193067238 37.8051144492567)
140785079,MISSING PERSON,FOUND PERSON,17-09-2014,TENDERLOIN,LOCATED,400.0 Block of OFARRELL ST,POINT(-122.41258680488 37.7858030596824)
146157389,LARCENY THEFT,GRAND THEFT FROM LOCKED AUTO,04-08-2014,SOUTHERN,NONE,10TH ST / HARRISON ST,POINT(-122.411279189969 37.771578576534)
140771727,OTHER OFFENSES,RESISTING ARREST,13-09-2014,BAYVIEW,JUVENILE CITED,3RD ST / QUESADA AV,POINT(-122.391245623019 37.7332252033101)
140765093,ASSAULT,BATTERY,10-09-2014,NORTHERN,"ARREST, BOOKED",1500.0 Block of POLK ST,POINT(-122.420732428019 37.7909955457864)
140695600,LARCENY THEFT,GRAND THEFT FROM PERSON,16-08-2014,MISSION,NONE,CHURCH ST / 20TH ST,POINT(-122.428051707644 37.7580899768083)
140694646,BURGLARY,"BURGLARY OF APARTMENT HOUSE, UNLAWFUL ENTRY",18-08-2014,TARAVAL,NONE,800.0 Block of TARAVAL ST,POINT(-122.47475787324 37.743199238155)
146198286,LARCENY THEFT,PETTY THEFT OF PROPERTY,19-09-2014,SOUTHERN,NONE,200.0 Block of KING ST,POINT(-122.391850066369 37.7780746393021)
140686546,OTHER OFFENSES,MISCELLANEOUS INVESTIGATION,16-08-2014,CENTRAL,NONE,0.0 Block of RUSSIANHILL PL,POINT(-122.415038471731 37.7978294052597)
140681615,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",15-08-2014,INGLESIDE,NONE,400.0 Block of ANDERSON ST,POINT(-122.415394753877 37.7381019317162)
140705340,BURGLARY,"BURGLARY, HOT PROWL, FORCIBLE ENTRY",22-08-2014,BAYVIEW,NONE,300.0 Block of GIRARD ST,POINT(-122.404774594231 37.7281589242689)
140688934,WARRANTS,WARRANT ARREST,17-08-2014,MISSION,"ARREST, BOOKED",1900.0 Block of MISSION ST,POINT(-122.419710793436 37.7659202147515)
140644390,LARCENY THEFT,GRAND THEFT OF PROPERTY,03-08-2014,NORTHERN,NONE,300.0 Block of FULTON ST,POINT(-122.422748320745 37.7787132856048)
140673521,WARRANTS,ENROUTE TO PROBATION OFFICER,12-08-2014,NORTHERN,"ARREST, BOOKED",STEINER ST / DUBOCE AV,POINT(-122.431571409363 37.7693057403876)
140768003,OTHER OFFENSES,LOST/STOLEN LICENSE PLATE,11-09-2014,INGLESIDE,NONE,400.0 Block of RAYMOND AV,POINT(-122.411680534362 37.7144312772232)
140833286,NON CRIMINAL,LOST PROPERTY,25-09-2014,NORTHERN,NONE,1100.0 Block of FILLMORE ST,POINT(-122.43204217085 37.7797945628895)
140654781,ROBBERY,ROBBERY ON THE STREET WITH A GUN,06-08-2014,BAYVIEW,NONE,WAYLAND ST / GIRARD ST,POINT(-122.404100833691 37.7261728040878)
140753214,VEHICLE THEFT,STOLEN AUTOMOBILE,06-09-2014,NORTHERN,"ARREST, BOOKED",2100.0 Block of POLK ST,POINT(-122.421888484152 37.7963137882332)
140776777,OTHER OFFENSES,AID OR HARBOR FELON,15-09-2014,INGLESIDE,"ARREST, BOOKED",CAMELLIA AV / SILVER AV,POINT(-122.432325871031 37.7292705200712)
140736828,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",01-09-2014,RICHMOND,NONE,700.0 Block of 20TH AV,POINT(-122.478886960866 37.7729129239549)
146179662,LARCENY THEFT,PETTY THEFT OF PROPERTY,03-09-2014,SOUTHERN,NONE,1200.0 Block of MISSION ST,POINT(-122.413797599096 37.7769073983537)
140736890,LARCENY THEFT,GRAND THEFT FROM LOCKED AUTO,01-09-2014,NORTHERN,NONE,STEINER ST / POST ST,POINT(-122.434733246333 37.7849443170266)
140816555,LARCENY THEFT,PETTY THEFT FROM LOCKED AUTO,27-09-2014,NORTHERN,NONE,1200.0 Block of GOLDEN GATE AV,POINT(-122.430253680714 37.7797460960487)
140721512,LARCENY THEFT,GRAND THEFT PICKPOCKET,27-08-2014,SOUTHERN,NONE,200.0 Block of 4TH ST,POINT(-122.402727263509 37.7832239066874)
146185738,LARCENY THEFT,GRAND THEFT FROM LOCKED AUTO,11-09-2014,INGLESIDE,NONE,2400.0 Block of SAN JOSE AV,POINT(-122.448026032545 37.7188120419459)
140693303,LARCENY THEFT,GRAND THEFT SHOPLIFTING,18-08-2014,SOUTHERN,"ARREST, BOOKED",800.0 Block of MARKET ST,POINT(-122.406659517434 37.7850491022993)
140815961,DRUG NARCOTIC,POSSESSION OF MARIJUANA,27-09-2014,TENDERLOIN,"ARREST, BOOKED",0.0 Block of JONES ST,POINT(-122.411986160097 37.7811401588215)
140751406,MISSING PERSON,FOUND PERSON,06-09-2014,RICHMOND,LOCATED,6TH AV / CLEMENT ST,POINT(-122.464425476951 37.7829397705234)
146197523,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",25-09-2014,CENTRAL,NONE,900.0 Block of POST ST,POINT(-122.417535863271 37.7871652980943)
140712276,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",24-08-2014,SOUTHERN,"ARREST, BOOKED",MARKET ST / 3RD ST,POINT(-122.403434086745 37.7876430502097)
140745625,NON CRIMINAL,"AIDED CASE, MENTAL DISTURBED",04-09-2014,TENDERLOIN,PSYCHOPATHIC CASE,600.0 Block of ELLIS ST,POINT(-122.417323708004 37.784252813662)
140684095,DRUG NARCOTIC,POSSESSION OF MARIJUANA,15-08-2014,MISSION,"ARREST, CITED",FOLSOM ST / 14TH ST,POINT(-122.41561633832 37.768536012388)
140751503,MISSING PERSON,MISSING JUVENILE,06-09-2014,MISSION,NONE,900.0 Block of POTRERO AV,POINT(-122.406662657485 37.7568815847358)
146198101,LARCENY THEFT,GRAND THEFT OF PROPERTY,27-09-2014,RICHMOND,NONE,500.0 Block of JOHNFKENNEDY DR,POINT(-122.465838183623 37.7724965522563)
