NAME,TYPE,CHILDREN,ADDRESS,asWKT
Adda Clevenger Junior Preparatory,GIFTED,K - 8,180 Fair Oaks Street,POINT(-122.424465 37.753739)
Brandeis Hillel Day School,JEWISH,K - 8,655 Brotherhood Way,POINT(-122.472212 37.712217)
Childrens Day School,PRESCHOOL,PK- 8,333 Dolores Street,POINT(-122.425708 37.763858)
Convent of Sacred Heart Elementary School,"GIRLS, CATHOLIC",K - 8,2222 Broadway,POINT(-122.43396 37.794865)
Epiphany School,CATHOLIC,1 - 8,600 Italy Avenue,POINT(-122.434533 37.715723)
Hamlin School,GIRLS,K - 8,2120 Broadway Street,POINT(-122.432554 37.795073)
Lisa Hampner Hebrew Academy,JEWISH,PK - 12,645 14th Avenue,POINT(-122.472874 37.776097)
Immaculate Conception Academy,"GIRLS, CATHOLIC",9 - 12,3625 24th Street,POINT(-122.423347 37.751753)
International Christian School,BAPTIST,PK - 8,42 Waller Street,POINT(-122.42423 37.772228)
Laurel School,,PK - 8,350 9th Avenue,POINT(-122.467013 37.781832)
Live Oak School,,K - 8,1555 Mariposa Street,POINT(-122.398929 37.763484)
Meadows-Livingstone School,,1 - 6,1499 Potrero Avenue,POINT(-122.404838 37.749628)
Mission Dolores School,CATHOLIC,K - 8,3371 16th Street,POINT(-122.427713 37.76407)
Our Lady of Visitacion School,CATHOLIC,K - 8,795 Sunnydale Ave,POINT(-122.409412 37.709763)
Presidio Hill School,,K - 8,3839 Washington Street,POINT(-122.45606 37.788584)
St. Anthony-Immaculate Conception School,CATHOLIC,K - 8,299 Precita Avenue,POINT(-122.41425 37.747502)
St. Brendan's School,CATHOLIC,K - 8,940 Laguna Honda Boulevard,POINT(-122.455924 37.742854)
St. Cecilia School,CATHOLIC,K - 8,660 Vicente Street,POINT(-122.47401 37.73995)
St. Charles School,CATHOLIC,K - 8,3250 18th Street,POINT(-122.416443 37.762323)
Stratford School,CATHOLIC,K - 2,301 De Montfort Avenue,POINT(-122.461561 37.723148)
St. Gabriel School,CATHOLIC,K - 8,2550 41st Avenue,POINT(-122.498771 37.739532)
St. James School,CATHOLIC,K - 8,321 Fair Oaks Street,POINT(-122.423768 37.751653)
St. John's School,CATHOLIC,K - 8,925 Chenery Street,POINT(-122.437496 37.734789)
St. Mary's Chinese Day School,CATHOLIC,K - 8,910 Broadway,POINT(-122.412375 37.797475)
Kipp Bayview Academy,,5 - 8,1060 Key Avenue,POINT(-122.396219 37.719517)
St. Peter's School,CATHOLIC,K - 8,1266 Florida Street,POINT(-122.41036 37.7517)
St. Philip's School,CATHOLIC,K - 8,665 Elizabeth Street,POINT(-122.435538 37.751758)
Sts. Peter and Paul Salesian School,CATHOLIC,K - 8,660 Filbert Street,POINT(-122.410437 37.801422)
San Francisco Waldorf School,,K - 12,2938 Washington Street,POINT(-122.441941 37.79091)
Stuart Hall High School,"BOYS, CATHOLIC",9 - 12,1715 Octavia Street,POINT(-122.427294 37.788251)
Synergy School,,K - 8,1387 Valencia Street,POINT(-122.4202 37.750874)
West Portal Lutheran School (1-3),PRESCHOOL,1 - 3,1711 37th Avenue,POINT(-122.496172 37.754918)
Archbishop Riordan High School,CATHOLIC,9 - 12,175 Phelan Avenue,POINT(-122.454277 37.727921)
Bethel Center,ED,9 - 12,2557 Alemany Boulevard,POINT(-122.446511 37.714723)
Cathedral School for Boys,"BOYS, EPISCOPAL",K - 8,1275 Sacramento Street,POINT(-122.413383 37.792008)
Chinese American International School,"BILINGUAL (ENGLISH, CHINESE)",PK - 8,150 Oak Street,POINT(-122.421832 37.775381)
Cornerstone Academy - Campus 1,"PRESCHOOL, BILINGUAL (ENGLISH, CANTONESE)",PK - 4,801 Silver Avenue,POINT(-122.418325 37.729583)
Cornerstone Academy - Campus 2,"BACKGROUND, BILINGUAL (ENGLISH, CANTONESE)",5 - 10,501 Cambridge Street,POINT(-122.416847 37.724953)
Corpus Christi School,CATHOLIC,K - 8,75 Francis Street,POINT(-122.435264 37.727179)
DeMarillac Middle School,"UNDERPRIVILEGED, CATHOLIC",6 - 8,135 Golden Gate Avenue,POINT(-122.413031 37.781666)
Discovery Center School,,K - 8,65 Ocean Avenue,POINT(-122.438326 37.723301)
Drew College Preparatory School,,9 - 12,2901 California Street,POINT(-122.442291 37.78756)
Ecole Notre Dames des Victoires,CATHOLIC,K - 8,659 Pine Street,POINT(-122.406467 37.791117)
Fellowship Academy,,PK - 8,495 Cambridge Street,POINT(-122.41732 37.725719)
Freeman School,SHALOM,K - 8,862 28th Avenue,POINT(-122.486934 37.773382)
Hillwood Academic Day School,,K - 8,2521 Scott Street,POINT(-122.440119 37.793323)
Holy Name School,,K - 8,1560 40th Avenue,POINT(-122.498905 37.757697)
Holy Trinity Orthodox School,,K - 8,999 Brotherhood Way,POINT(-122.482003 37.713867)
Katherine Delmar Burke School,GIRLS,K - 8,7070 California Street,POINT(-122.4934 37.784938)
Katherine Michiels School,"ART, SPANISH, DYSLEXIA",PK - 5,1335 Guerrero Street,POINT(-122.42231 37.749818)
