NAME,TYPE,DEPTPUBLIC,LATWGS84,LONWGS84
Ulloa Elementary School,Elementary,7,37.73733,-122.499389
FRANCISCO MIDDLE SCHOOL,Middle School,7,37.80436,-122.411022
Yick Wo Elementary School,Elementary,7,37.8019,-122.416597
Garfield Elementary School,Elementary,7,37.801935,-122.406532
"Parker, Jean Elementary School",Elementary,7,37.797643,-122.411053
Spring Valley Elementary School,Elementary,7,37.79402,-122.4188
Chinese Education Center Elementary School,Elementary,7,37.794768,-122.404058
Marina Middle School,Middle School,7,37.80168,-122.436047
Tule Elk Park Early Education School,Early Education,7,37.799363,-122.434561
Sherman Elementary School,Elementary,7,37.797802,-122.426118
Redding Elementary School,Elementary,7,37.789578,-122.419243
Gateway High School,Charter School,7,37.783151,-122.437497
HARVEY MILK CHILDREN CENTER,Early Education,7,37.783688,-122.42004
Creative Arts Charter School,Charter School,7,37.779347,-122.435927
"LAGUNA GOLDEN GATE CHILD CARE CENTER,  PRE-K SCHOOL",Early Education,7,37.780628,-122.427315
"Muir, John Elementary School",Elementary,7,37.773724,-122.428787
"Cobb, Dr. William L. Elementary School",Elementary,7,37.787702,-122.439627
"Roosevelt, Theodore Middle School",Middle School,7,37.782285,-122.458356
"Wallenberg, Raoul High School",High School,7,37.779848,-122.446757
New Traditions Elementary School,Elementary,7,37.773885,-122.450267
Grattan Elementary School,Elementary,7,37.763698,-122.450449
Alamo Elementary School,Elementary,7,37.783001,-122.482263
Sutro Elementary School,Elementary,7,37.783603,-122.471452
"Peabody, George Elementary School",Elementary,7,37.783854,-122.465025
Presidio Middle School,Middle School,7,37.780865,-122.489627
"Washington, George High School",High School,7,37.777878,-122.491023
Lafayette Elementary School,Elementary,7,37.777056,-122.496876
S.F. County Special Education School,County School,7,37.775524,-122.483868
Argonne Elementary School,Elementary,7,37.775337,-122.476329
"McCoppin, Frank Elementary School",Elementary,7,37.776305,-122.464232
Argonne Early Education School,Early Education,7,37.77397,-122.474057
PCC/Big Picture San Francisco,County School,7,37.763219,-122.463852
Jefferson Elementary School,Elementary,7,37.763294,-122.476815
Jefferson Early Education School,Early Education,7,37.76232,-122.483167
Walden House,County School,7,37.761386,-122.502232
Lawton Alternative School,Elementary,7,37.758051,-122.489098
"Key, Francis Scott Elementary School",Elementary,7,37.758098,-122.502
"Giannini, A. P. Middle School",Middle School,7,37.750616,-122.497214
