Fichero actualizado a fecha: 2014-10-19 03:52:48
DescripcionBlob;NombreEntidad;DirectorioRelacionado;DirectorioRelacionado;Localidad;Tipo de Gestión;Horario de apertura;Requisitos específicos para el acceso;Accesibilidad;Servicios disponibles;Información Adicional;Identificador;FechaModificacion;Enlace al contenido;
"<span id=""_CSEMBEDTYPE_=inclusion&amp;_PAGENAME_=Portal_Bibliotecas%2FRecurso%2FPlantillaContenidoImagenCentro&amp;_herramienta_=true&amp;_cid_=1253081375013&amp;_c_=Recurso&amp;_PACKEDARGS_=variableIdioma=idioma$variableTipoLetra=tipoLetra&amp;_deps_=exists""><i>[Contenido incluido(Id:1253081375013;Tipo:Recurso)]</i></span>";"Biblioteca Pública Municipal de Riaza";"Biblioteca Pública Municipal de Riaza";"1191909671559";"Riaza";;"<ul>
<li>Martes a viernes : 16:45 a 19:30 h.</li>
<li>S&aacute;bados: 12:00 h. a 13:50 h.</li>
</ul>";;;"<ul>
<li>Pr&eacute;stamo.</li>
<li>Consulta.</li>
<li>Informaci&oacute;n.</li>
<li>Acceso gratuito a Internet .</li>
</ul>";"<p><strong>Recursos:<br />
</strong></p>
<ul>
<li>Libros.</li>
<li>Peri&oacute;dicos y revistas.</li>
<li>Audiovisuales.</li>
<li>Multimedia.</li>
</ul>
<p><strong>Equipamiento:</strong> 54 puestos de consulta, Fax, 1 esc&aacute;ner y 1 impresora.&nbsp;</p>
<p><strong>Equipamiento inform&aacute;tico:</strong> 2 ordenadores de gesti&oacute;n interna y 6 de uso p&uacute;blico con conexi&oacute;n a Internet.</p>";1284220762260;20140307;"http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaSegovia/es/Plantilla100Detalle/1284212879636/_/1284220762260/DirectorioPadre";
"<p>Se trata de una Centro de Documentaci&oacute;n especializado en <strong>educaci&oacute;n ambiental </strong>y <strong>temas medioambientales</strong> perteneciente al Ministerio de Agricultura, Alimentaci&oacute;n y Medio Ambiente..</p>
<p><img src='/web/jcyl/binarios/906/309/BPSE_OB_ceneam.jpg' alt='Fachada del Centro Nacional de Educación Ambiental'></p>";"Centro de Documentación del CENEAM";"Centro de Documentación del CENEAM";"1230984547003";"Pradera de Navalhorno (La)";;"<ul>
<li>De lunes a viernes en horario ininterrumpido de 8:00 a 17:00 horas.</li>
<li>Viernes de 8:00 a 15:00 horas.</li>
</ul>";;;"<ul>
<li>Informaci&oacute;n bibliogr&aacute;fica.</li>
<li>Consulta en sala</li>
<li>Pr&eacute;stamo (cinco documentos durante 1 mes, renovables por 15 d&iacute;as m&aacute;s, si no hay reserva por otro usuario del documento). Se realizan pr&eacute;stamos por correo postal a toda Espa&ntilde;a.</li>
<li>Pr&eacute;stamo interbibliotecario.</li>
<li>Formaci&oacute;n de usuarios.</li>
<li>Venta de im&aacute;genes: cesi&oacute;n de derechos de uso de las diapositivas y cortes de im&aacute;genes propiedad del CENEAM, previo pago de las tarifas existentes.</li>
</ul>";"<p><strong>Recursos:</strong></p>
<ul>
<li>Fondo con 30.000 documentos: libros, revistas, v&iacute;deos, materiales multimedia, recursos electr&oacute;nicos, juegos educativos y sonidos.</li>
<li>Cuenta tambi&eacute;n con una fototeca digital que contiene m&aacute;s de 15.000 fotograf&iacute;as sobre ecosistemas espa&ntilde;oles, flora, fauna, espacios naturales protegidos...</li>
<li>Archivo de im&aacute;genes de la naturaleza en formato digital.</li>
</ul>";1284220952753;20140424;"http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaSegovia/es/Plantilla100Detalle/1284212879636/_/1284220952753/DirectorioPadre";
"<span id=""_CSEMBEDTYPE_=inclusion&amp;_PAGENAME_=Portal_Bibliotecas%2FRecurso%2FPlantillaContenidoImagenIzda&amp;_herramienta_=true&amp;_cid_=1284221918223&amp;_c_=Recurso&amp;_PACKEDARGS_=variableIdioma=idioma$variableTipoLetra=tipoLetra&amp;_deps_=exists""><i>[Contenido incluido(Id:1284221918223;Tipo:Recurso)]</i></span>";"Biblioteca Municipal de Cebreros";"Biblioteca Pública Municipal de Cebreros";"1193120400751";"Cebreros";;"<p><strong>Lunes a Viernes:<br />
</strong>Ma&ntilde;anas de 10.00 a 14.00 horas<br />
Tardes de 17.30 a 20.30 horas</p>
<p><strong>Sabados:<br />
</strong>Ma&ntilde;anas de 12.00 a 14.00 horas<br />
&nbsp;</p>";;;"<ul>
<li>Pr&eacute;stamo Adultos e Infantil</li>
<li>Pr&eacute;stamo de audiovisuales</li>
<li>Lectura&nbsp;en Sala</li>
<li>Hemeroteca</li>
<li>Informaci&oacute;n bibliogr&aacute;fica</li>
<li>Pr&eacute;stamo Interbibliotecario</li>
<li>Acceso a Internet</li>
<li>Animaci&oacute;n a la lectura</li>
</ul>";"<p><strong>Recursos:</strong></p>
<ul>
<li>Libros Adultos e Infantil</li>
<li>Publicaciones peri&oacute;dicas</li>
<li>Audiovisuales Adultos e Infantil&nbsp;</li>
</ul>
<p><strong>Equipamiento</strong></p>
<ul>
<li>212&nbsp;m2</li>
<li>55&nbsp;puestos de consulta</li>
<li>518 m. de estanterias</li>
</ul>
<p><strong>Equipamiento inform&aacute;tico</strong></p>
<ul>
<li>2&nbsp;ordenador uso interno (con acceso a Internet)</li>
<li>8&nbsp;ordenadores uso p&uacute;blico (con acceso a Internet)</li>
<li>3 impresoras (2 de uso p&uacute;blico)</li>
<li>2 esc&aacute;ner (1 de uso p&uacute;blico)</li>
</ul>";1284221920286;20140310;"http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaAvila/es/Plantilla100Detalle/1284212873300/_/1284221920286/DirectorioPadre";
"<span id=""_CSEMBEDTYPE_=inclusion&amp;_PAGENAME_=Portal_Bibliotecas%2FRecurso%2FPlantillaContenidoImagenIzda&amp;_herramienta_=true&amp;_cid_=1284221928458&amp;_c_=Recurso&amp;_PACKEDARGS_=variableIdioma=idioma$variableTipoLetra=tipoLetra&amp;_deps_=exists""><i>[Contenido incluido(Id:1284221928458;Tipo:Recurso)]</i></span>";"Biblioteca Pública Municipal ""Posada de la Feria"" de Ávila";"Biblioteca Pública Municipal de Ávila";"1193641946056";"Ávila";;"<p><strong>Lunes a Viernes</strong>:<br />
de 9:00h a 20:30h <br />
<strong>S&aacute;bados</strong>:<br />
de 10:00h a 14:00h</p>";;;"<ul>
<li>Pr&eacute;stamo Adultos e Infantil</li>
<li>Hemeroteca</li>
<li>Lectura en Sala</li>
<li>Acceso a Internet</li>
<li>Fondo Local</li>
<li>Animaci&oacute;n a la Lectura</li>
</ul>";"<p><strong>Recursos:</strong></p>
<ul>
<li>Libros Adultos e Infantil</li>
<li>Publicaciones peri&oacute;dicas</li>
<li>Audiovisuales Adultos e Infantil&nbsp;</li>
</ul>
<p><strong>Equipamiento</strong></p>
<ul>
<li>768&nbsp;m2</li>
<li>72&nbsp;puestos de consulta</li>
<li>200&nbsp;m. de estanterias</li>
<li>1 fotocopiadora</li>
</ul>
<p><strong>Equipamiento inform&aacute;tico</strong></p>
<ul>
<li>5&nbsp;ordenador uso interno (con acceso a Internet)</li>
<li>5&nbsp;ordenadores uso p&uacute;blico (con acceso a Internet)</li>
</ul>";1284221938403;20140310;"http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaAvila/es/Plantilla100Detalle/1284212873300/_/1284221938403/DirectorioPadre";
"<span id=""_CSEMBEDTYPE_=inclusion&amp;_PAGENAME_=Portal_Bibliotecas%2FRecurso%2FPlantillaContenidoImagenIzda&amp;_herramienta_=true&amp;_cid_=1284221959380&amp;_c_=Recurso&amp;_PACKEDARGS_=variableIdioma=idioma$variableTipoLetra=tipoLetra&amp;_deps_=exists""><i>[Contenido incluido(Id:1284221959380;Tipo:Recurso)]</i></span>";"Biblioteca Pública Municipal ""Olegario Gonzalez de Cardedal"" de Ávila";"Biblioteca Pública Municipal de Ávila";"1213607813005";"Ávila";;"<p><strong>Lunes a Viernes</strong>:<br />
Ma&ntilde;anas 10.00-14.00 horas<br />
Tardes 17.00-20.00 horas</p>";;;"<ul>
<li>Pr&eacute;stamo Adultos e Infantil</li>
<li>Hemeroteca</li>
<li>Lectura en Sala</li>
<li>Acceso a Internet</li>
<li>Fondo Local</li>
<li>Animaci&oacute;n a la Lectura</li>
</ul>";"<p><strong>Recursos:</strong></p>
<ul>
<li>Libros Adultos e Infantil</li>
<li>Publicaciones peri&oacute;dicas</li>
<li>Audiovisuales Adultos e Infantil&nbsp;</li>
</ul>
<p><strong>Equipamiento</strong></p>
<ul>
<li>94&nbsp;puestos de consulta</li>
<li>150 m<sup>2</sup></li>
<li>375 m. lineales estanter&iacute;as</li>
<li>1 fotocopiadora</li>
</ul>
<p><strong>Equipamiento inform&aacute;tico</strong></p>
<ul>
<li>2&nbsp;ordenador uso interno (con acceso a Internet)</li>
<li>4&nbsp;ordenadores uso p&uacute;blico (con acceso a Internet)</li>
</ul>";1284221961365;20140310;"http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaAvila/es/Plantilla100Detalle/1284212873300/_/1284221961365/DirectorioPadre";
"<span id=""_CSEMBEDTYPE_=inclusion&amp;_PAGENAME_=Portal_Bibliotecas%2FRecurso%2FPlantillaContenidoImagenIzda&amp;_herramienta_=true&amp;_cid_=1284222038479&amp;_c_=Recurso&amp;_PACKEDARGS_=variableIdioma=idioma$variableTipoLetra=tipoLetra&amp;_deps_=exists""><i>[Contenido incluido(Id:1284222038479;Tipo:Recurso)]</i></span>";"Biblioteca Municipal de Madrigal de las Altas Torres";"Biblioteca Pública Municipal de Madrigal de las Altas Torres";"1193120403593";"Madrigal de las Altas Torres";;"<p><strong>Lunes a Viernes:<br />
</strong>Ma&ntilde;anas de 12.00 a 14.00 horas<br />
Tardes de 17.00 a 19.00 horas</p>";;;"<ul>
<li>Pr&eacute;stamo Adultos e Infantil</li>
<li>Pr&eacute;stamo audiovisuales</li>
<li>Lectura en Sala</li>
<li>Acceso a Internet</li>
</ul>";"<p><strong>Recursos:</strong></p>
<ul>
<li>Libros Adultos e Infantil</li>
<li>Publicaciones peri&oacute;dicas</li>
<li>Audiovisuales Adultos e Infantil&nbsp;</li>
</ul>
<p><strong>Equipamiento</strong></p>
<ul>
<li>91&nbsp;m2</li>
<li>34&nbsp;puestos de consulta</li>
<li>52 m. de estanterias</li>
</ul>
<p><strong>Equipamiento inform&aacute;tico</strong></p>
<ul>
<li>1&nbsp;ordenador uso interno (con acceso a Internet)</li>
<li>3&nbsp;ordenadores uso p&uacute;blico (con acceso a Internet)</li>
<li>1 impresora</li>
<li>1 esc&aacute;ner</li>
</ul>";1284222040341;20140310;"http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaAvila/es/Plantilla100Detalle/1284212873300/_/1284222040341/DirectorioPadre";
"<span id=""_CSEMBEDTYPE_=inclusion&amp;_PAGENAME_=Portal_Bibliotecas%2FRecurso%2FPlantillaContenidoImagenIzda&amp;_herramienta_=true&amp;_cid_=1284222045000&amp;_c_=Recurso&amp;_PACKEDARGS_=variableIdioma=idioma$variableTipoLetra=tipoLetra&amp;_deps_=exists""><i>[Contenido incluido(Id:1284222045000;Tipo:Recurso)]</i></span>";"Biblioteca Municipal de Mingorría";"Biblioteca Pública Municipal de Mingorría";"1193120403764";"Mingorría";;"<p><strong>Lunes a Viernes</strong>:<br />
Ma&ntilde;anas de 10.00 a 14.00 horas<br />
Tardes de 17.00 a 20.00 horas</p>";;;"<ul>
<li>Pr&eacute;stamo Adultos e Infantil</li>
<li>Lectura en Sala</li>
<li>Acceso a Internet</li>
</ul>";"<p><strong>Recursos:</strong></p>
<ul>
<li>Libros Adultos e Infantil</li>
<li>Publicaciones peri&oacute;dicas</li>
<li>Audiovisuales Adultos e Infantil&nbsp;</li>
</ul>
<p><strong>Equipamiento</strong></p>
<ul>
<li>100&nbsp;m2</li>
<li>36&nbsp;puestos de consulta</li>
<li>269 m. de estanterias</li>
</ul>
<p><strong>Equipamiento inform&aacute;tico</strong></p>
<ul>
<li>1&nbsp;ordenador uso interno (con acceso a Internet)</li>
<li>8&nbsp;ordenadores uso p&uacute;blico (con acceso a Internet)</li>
</ul>";1284222073555;20140310;"http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaAvila/es/Plantilla100Detalle/1284212873300/_/1284222073555/DirectorioPadre";
"<span id=""_CSEMBEDTYPE_=inclusion&amp;_PAGENAME_=Portal_Bibliotecas%2FRecurso%2FPlantillaContenidoImagenIzda&amp;_herramienta_=true&amp;_cid_=1204012069671&amp;_c_=Recurso&amp;_PACKEDARGS_=variableIdioma=idioma$variableTipoLetra=tipoLetra&amp;_deps_=exists""><i>[Contenido incluido(Id:1204012069671;Tipo:Recurso)]</i></span>";"Biblioteca Municipal de Medina del Campo";"Biblioteca Pública Municipal de Medina del Campo";"1193641893194";"Medina del Campo";;"<p><strong>Lunes a viernes:<br />
</strong>Ma&ntilde;anas:&nbsp;de&nbsp;9:30 a 14:00 h<br />
Tardes: de 16:30 a 20:30 h<br />
Sala Infantil: de 16:30 a 20:30 h. Durante las vacaciones escolares la&nbsp;sala infantil abre tambi&eacute;n por las ma&ntilde;anas<br />
&nbsp;</p>";;;"<ul>
<li>Consulta, pr&eacute;stamo, acceso a internet, informaci&oacute;n bibliogr&aacute;fica y formaci&oacute;n de usuarios.</li>
<li>Bebeteca, secci&oacute;n infantil, secci&oacute;n de j&oacute;venes, secci&oacute;n de adultos, padreteca, secci&oacute;n de idiomas y secci&oacute;n local.</li>
<li>Hemeroteca, audiovisuales y fonoteca.</li>
<li>Actividades de promoci&oacute;n de lectura, gu&iacute;as de lectura y exposiciones bibliogr&aacute;ficas.</li>
</ul>";"<p><strong>Recursos:</strong></p>
<ul>
<li>M&aacute;s de 28.500 libros distribuidos en las secciones de adultos (17.300 t&iacute;tulos aprox.) e infantil y juvenil (11.500 t&iacute;tulos aprox.)</li>
<li>102 t&iacute;tulos de revista y 8 peri&oacute;dicos diarios</li>
<li>Colecci&oacute;n de documentos audiovisuales formada por 2.650 dvd's, 827 grabaciones sonoras y 103 cd-rom</li>
</ul>
<p><strong>Equipamiento:<br />
</strong></p>
<ul>
<li>191 puestos de consulta</li>
<li>Impresora, fotocopiadora, esc&aacute;ner y zona wifi para la conexi&oacute;n a internet en toda la biblioteca</li>
</ul>
<p><strong>Equipamiento inform&aacute;tico:<br />
</strong></p>
<ul>
<li>10 ordenadores de uso p&uacute;blico con acceso a internet y 5 ordenadores de uso interno bibliotecario<br />
&nbsp;</li>
</ul>";1284222349676;20140310;"http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaValladolid/es/Plantilla100Detalle/1276515979208/_/1284222349676/DirectorioPadre";
"<span id=""_CSEMBEDTYPE_=inclusion&amp;_PAGENAME_=Portal_Bibliotecas%2FRecurso%2FPlantillaContenidoImagenIzda&amp;_herramienta_=true&amp;_cid_=1284222498694&amp;_c_=Recurso&amp;_PACKEDARGS_=variableIdioma=idioma$variableTipoLetra=tipoLetra&amp;_deps_=exists""><i>[Contenido incluido(Id:1284222498694;Tipo:Recurso)]</i></span>";"Biblioteca Auxiliar del Archivo Histórico Provincial de Ávila";"Biblioteca Auxiliar del Archivo Histórico Provincial de Ávila";"1193727711585";"Ávila";;"<p><strong>Ma&ntilde;anas<br />
</strong>Lunes a viernes&nbsp;de 8.30&nbsp;a 14.30 horas<br />
<strong>Tardes<br />
</strong>Lunes y Martes de 16.30 a 19.00 horas</p>
<p><strong>Julio, Agosto y Septiembre<br />
</strong>de 8.00 a 15.00 horas<br />
&nbsp;</p>";;"Accesible para personas con movilidad reducida";"<ul>
<li>Lectura en Sala</li>
<li>Informaci&oacute;n bibliogr&aacute;fica</li>
<li>Reprograf&iacute;a e impresi&oacute;n</li>
</ul>";"<p><strong>Recursos:</strong></p>
<ul>
<li>Libros (monograf&iacute;as y obras de consulta)</li>
<li>Publicaciones peri&oacute;dicas</li>
</ul>
<p><strong>Equipamiento</strong></p>
<ul>
<li>28&nbsp;puestos de consulta</li>
<li>fotocopiadora</li>
<li>2 Lectores de microformas</li>
</ul>";1284222505121;20140310;"http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaAvila/es/Plantilla100Detalle/1284212873300/_/1284222505121/DirectorioPadre";
;"Biblioteca Municipal de Portillo";"Biblioteca Pública Municipal de Portillo";"1193641920955";"Portillo";;"<p><strong>Lunes a viernes</strong>:<br />
Tardes: de 17:00 a 21:00 h.</p>";;;"<ul>
<li>Consulta en sala</li>
<li>Pr&eacute;stamo</li>
<li>Acceso a internet&nbsp;</li>
<li>Cursos de inform&aacute;tica para adultos.</li>
<li>Actividades culturales y de animaci&oacute;n a la lectura, entre las que destacan los cuentacuentos (de abril a noviembre). <br />
&nbsp;</li>
</ul>";"<p><strong>Recursos:</strong></p>
<ul>
<li>15.000 libros distribuidos en las secciones de adultos (aprox. 9.500 t&iacute;tulos) e infantil (6.000 t&iacute;tulos aprox.)</li>
<li>7 t&iacute;tulos de revista y 3 diarios.</li>
<li>Documentos audiovisuales y material multimedia en cd-rom. <br />
&nbsp;</li>
</ul>
<p><strong>Equipamiento:</strong></p>
<ul>
<li>74 puestos de consulta.</li>
<li>Tel&eacute;fono y fax. <br />
&nbsp;</li>
</ul>
<p><strong>Equipamiento inform&aacute;tico:</strong></p>
<ul>
<li>6 ordenadores de uso p&uacute;blico con acceso a internet.</li>
<li>1 ordenador de uso bibliotecario. <br />
&nbsp;</li>
</ul>
<p>&nbsp;</p>";1284222667370;20140310;"http://www.bibliotecas.jcyl.es/web/jcyl/BibliotecaValladolid/es/Plantilla100Detalle/1276515979208/_/1284222667370/DirectorioPadre";
