CURSO ACADÉMICO;CÓDIGO;C.SITUACIÓN;SITUACIÓN;C.NATURALEZA;NATURALEZA;C.DENOMINACIÓN GENÉRICA;DENOMINACIÓN GENÉRICA;DENOMINACIÓN GENÉRICA BREVE;DENOMINACIÓN ESPECÍFICA;C.VÍA;VÍA;NOMBRE DE LA VÍA;NÚMERO;NÚMERO(EXT);PISO;PISO(EXT);ESCALERA;LETRA;C.PROV;C.MUNI;C.LOCA;PROVINCIA;MUNICIPIO;LOCALIDAD;C.POSTAL;TELÉFONO;FAX;LETRA;CORREO ELECTRÓNICO;WEB;COORD. LONGITUD;COORD. LATITUD;C.R.A;INTERNADO;CONCIERTO;JORNADA CONTINUA;COMEDOR;TRANSPORTE;
2014;24022331;A;ALTA;1;PÚBLICO;98;CENTRO DOCENTE DE FORMACIÓN MILITAR;A Militar;ACADEMIA BÁSICA DEL AIRE DE LEÓN;FCA.;FINCA;AERÓDROMO MILITAR DE LEÓN;;S/N;;;;;24;189;8;LEON;VALVERDE DE LA VIRGEN;VIRGEN DEL CAMINO (LA);24198;987843600;;;24022331@educa.jcyl.es;;-5,64611;42,58554;N;S;N;N;S;N;
2014;40008561;A;ALTA;1;PÚBLICO;98;CENTRO DOCENTE DE FORMACIÓN MILITAR;A Militar;ACADEMIA DE ARTILLERÍA DE SEGOVIA;CALLE;CALLE;SAN FRANCISCO;25;;;;;;40;194;6;SEGOVIA;SEGOVIA;SEGOVIA;40001;921413807;;;40008561@educa.jcyl.es;;-4,11764;40,94623;N;S;N;N;S;N;
2014;47011644;A;ALTA;1;PÚBLICO;98;CENTRO DOCENTE DE FORMACIÓN MILITAR;A Militar;ACADEMIA DE CABALLERÍA DE VALLADOLID;CRA.;CARRETERA;DE RUEDA;219;;;;;;47;186;5;VALLADOLID;VALLADOLID;VALLADOLID;47012;983249376;983249849;;47011644@educa.jcyl.es;;-4,75271;41,60845;N;S;N;N;S;N;
2014;24017679;A;ALTA;1;PÚBLICO;131;CONSERVATORIO PROFESIONAL DE MUSICA;C Música;ÁNGEL BARJA;PZ.;PLAZA;MAGISTERIO;;S/N;;;;;24;8;1;LEON;ASTORGA;ASTORGA;24700;987619411;987619411;;24017679@educa.jcyl.es;http://cpmangelbarja.centros.educa.jcyl.es;-6,05953;42,45612;N;N;N;N;N;N;
2014;24022122;A;ALTA;1;PÚBLICO;131;CONSERVATORIO PROFESIONAL DE MUSICA;C Música;CONSERVATORIO DE LEON;CALLE;CALLE;SANTA NONIA;11;;;;;;24;89;2;LEON;LEON;LEON;24003;987250207;;;24022122@educa.jcyl.es;http://conservatorioleon.centros.educa.jcyl.es;-5,57205;42,59468;N;N;N;N;N;N;
2014;09008093;A;ALTA;1;PÚBLICO;130;CONSERVATORIO ELEMENTAL DE MUSICA;C Música;CONSERVATORIO DE MIRANDA DE EBRO;CALLE;CALLE;ENTREHUERTAS;10;;;;;;9;219;11;BURGOS;MIRANDA DE EBRO;MIRANDA DE EBRO;9200;947335844;;;09008093@educa.jcyl.es;;-2,95474;42,68425;N;N;N;N;N;N;
2014;34003324;A;ALTA;1;PÚBLICO;131;CONSERVATORIO PROFESIONAL DE MUSICA;C Música;CONSERVATORIO DE PALENCIA;PZ.;PLAZA;DE SAN PABLO;8;;;;;;34;120;1;PALENCIA;PALENCIA;PALENCIA;34005;979706116;979706226;;34003324@educa.jcyl.es;http://conservatoriopalencia.centros.educa.jcyl.es/sitio;-4,53654;42,01428;N;N;N;N;N;N;
2014;37009751;A;ALTA;1;PÚBLICO;131;CONSERVATORIO PROFESIONAL DE MUSICA;C Música;CONSERVATORIO DE SALAMANCA;CALLE;CALLE;TAHONAS VIEJAS;5;;;;;;37;274;2;SALAMANCA;SALAMANCA;SALAMANCA;37002;923281359;923281543;;37009751@educa.jcyl.es;http://conservatoriosalamanca.centros.educa.jcyl.es;-5,66794;40,96417;N;N;N;N;N;N;
2014;40004531;A;ALTA;1;PÚBLICO;131;CONSERVATORIO PROFESIONAL DE MUSICA;C Música;CONSERVATORIO DE SEGOVIA;AV.;AVENIDA;VICENTE ALEXANDRE;222;;;;;;40;194;6;SEGOVIA;SEGOVIA;SEGOVIA;40006;921412268;921438550;;40004531@educa.jcyl.es;http://conservatoriosegovia.centros.educa.jcyl.es;-4,09362;40,92699;N;N;N;N;N;N;
2014;47011164;A;ALTA;1;PÚBLICO;131;CONSERVATORIO PROFESIONAL DE MUSICA;C Música;CONSERVATORIO DE VALLADOLID;CALLE;CALLE;MONASTERIO NTRA. SRA. DE PRADO (CENTRO CULTURAL "MIGUEL DELIBES");2;;;;;;47;186;5;VALLADOLID;VALLADOLID;VALLADOLID;47015;983384832;983384836;;47011164@educa.jcyl.es;http://conservatoriovalladolid.centros.educa.jcyl.es;-4,75418;41,64316;N;N;N;N;N;N;
