ows_LinkTitle,ows_Zona,ows_Georeferencia,ows_CodigoPostal,ows_Direccion,ows_Telefono,ows_Fax,ows_Web,ows_Accesibilidad,ows_FechaActualizacion,ows_Horarios,ows_Actividad,ows_Activo,ows_Email,ows_Municipio,ows_Image,ows_ComoLlegarEspanol,ws_ComoLlegarIngles,ows_ComoLlegarAleman,ows_ComoLlegarFrances,ows_ComoLlegarItaliano,ows_HorariosIngles,ows_HorariosAleman,ows_HorariosFrances,ows_HorariosItaliano
"Centro de Visitantes Cruz del Carmen","Metropolitana","(28.531297762237123, -16.28023624420166)","38294","Ctra. Las Mercedes, km.6","922 63 35 76","","","","2013-09-18 12:49:29","Lun.- Dom.: 9:30 - 16:00 ","Oficinas de información Turística","1","cvisitantes@cabtfe.es","San Cristóbal de la Laguna","../PublishingImages/centro de visitantes Cruz del Carmen.jpg","","","","","","","","",""
"Arico","Sur","(28.1666549, -16.501374800000008)","38580","C/ Benítez de Lugo, 1 ","922 16 11 33","","http://www.ayuntamientodearico.com","","2014-02-27 12:25:50","Lun-Vie. : 09:00 - 14:30","Oficinas de información Turística","1","turismo@ayuntamientodearico.com","Arico","","","","","","","","","",""
"Candelaria (OIT)","Sur","(28.3574725, -16.36918289999994)","38530","Avda. de la Constitución, s/n, Candelaria","922 03 22 30","922 50 00 08","http://www.candelaria.es","","2014-01-25 11:01:17","De lunes a jueves 9:00 a 14:00 y de 15:00 a 17:00 Viernes y sábados de 9:00 a 13:00","Oficinas de información Turística","1","oit@candelaria.es","Candelaria","../PublishingImages/OIT CANDELARIA.jpg","","","","","","","","",""
"Adeje - Playa de Fañabé","Sur","(28.08609883027464, -16.736991084180772)","38660","Avda. Litoral, s/n. Playa de Fañabé","922 71 65 39","922 71 66 43","http://www.costa-adeje.es","","2014-01-22 09:46:58","Lunes-Viernes: 10:00h a 17:00h.","Oficinas de información Turística","1","turismo@adeje.es","Adeje","../PublishingImages/OIT Playa  Fañabé3sep 2010.JPG","Si ha llegado al aeropuerto de Los Rodeos, que se encuentra ubicado en la parte noreste de Tenerife, cerca de la ciudad de La Laguna (Patrimonio Histórico de la Humanidad) debe usted saber qué en coche y/o taxi tardará una hora en llegar a Costa Adeje. Si elige el transporte público, tardará aproximadamente dos horas en llegar. Si se encontrase en el aeropuerto Reina Sofía, ubicado en la zona sur de Tenerife, está a tan sólo 20 minutos en coche y/o taxi de Costa Adeje. Si tomase la guagua (transporte público) tardará unos 40 minutos aproximadamente. La Oficina de Turismo de Fañabé se encuentra en la Avenida Litoral, s/n, en el término municipal de Adeje y directamente al comienzo de la conocida Playa de Fañabé. ","If you arrive at the airport of Los Rodeos which is located in the northeast side of Tenerife, near by the Unesco's World Heritage City of La Laguna, you only are one hour by car or taxi from Costa Adeje away. If you choose the local bus service, it will take you around two hours. If you are at the airport Reina Sofia which is located in the South of Tenerife you are only 20 minutes away by car or taxi from Costa Adeje. With the bus it will take you around 40 minutes. The Tourist Information Office of Fañabé, it is located at Avenida Litoral, s/n, in Adeje, at the famous beach Playa de Fañabé. ","Von dem Flughafen Los Rodeos, im Norden Teneriffa´s, brauchen Sie mit Auto oder Taxi ungefähr eine Stunde bis Sie in Costa Adeje ankommen. Mit dem öffentlichen Bus sind Sie ungefähr zwei Stunden unterwegs Vom Südflughafen, Reina Sofía, sind Sie mit Auto oder Taxi, 20 Minuten bis Costa Adeje unterwegs. Mit dem Bus, wären 40 Minuten nötig. Das Fremdenverkehrsbüro von Fañabé befindet sich in Avenida Litoral, s/n. Costa Adeje. Bei den bekannten Strand Playa de Fañabé. ","","","","","",""
"Garachico","Isla Baja","(28.3721891, -16.7669707)","38450","Avda Republica de Venezuela","922 13 34 61","922 13 34 61","","","2014-02-27 11:46:00","Lun-viernes. : 10:00 - 17:00       Sáb-dom: 10:00/15:00","Oficinas de información Turística","1","","Garachico","../PublishingImages/CIT Garachico.JPG","","","","","","","","",""
"La Orotava","Norte","(28.3916415, -16.522502300000042)","38300","C/ Calvario, 4","922 32 30 41","922 32 43 67","","","2014-02-27 12:27:12","Lun-Vie. : 08:30 - 18:00","Oficinas de información Turística","1","","Orotava (La)","../PublishingImages/OROTAVA.JPG","","","","","","","","",""
"Los Realejos","Norte","(28.3806049, -16.585461200000054)","38410","Plaza de la Unión, s/n","922 34 61 81","922 34 66 03","http://www.losrealejos.travel","","2014-02-13 13:04:47","Lun-Vie. : 09:30 - 13:30","Oficinas de información Turística","1","info@losrealejos.travel","Realejos (Los)","../PublishingImages/ofi tur2.jpg","","","","","","","","",""
"Arona - Playa de las Américas","Sur","(28.0596063, -16.733153799999968)","38660"," Plza. del City Center. Avda. Rafael Puig, 19 ","922 79 76 68","","http://www.arona.travel","","2012-07-14 08:57:21","Lunes a Viernes 8:30-18:00 horas. Fines de semana 8:30-16:00","Oficinas de información Turística","1","info-americas@arona.travel","Arona","../PublishingImages/9_7273_1.jpg","","","","","","","","",""
"Puerto de la Cruz (C.I.T)","Norte","(28.415654213815642, -16.55336022377014)","38400"," C/ Puerto Viejo, 13 ","922 38 87 77","922 38 08 70","","","2012-08-02 15:21:26","De Lun. a Vie. : 09:00-13:00 -- 16:30-19:00","Oficinas de información Turística","1","","Puerto de la Cruz (El)","../PublishingImages/CIT PUERTO Cruz.JPG","","","","","","","","",""
"La Laguna - Casa Alvarado Bracamonte","Metropolitana","(28.4874009, -16.315906100000007)","38201","C/ La Carrera, 7, Bajo. Casa Alvarado Bracamonte (Capitanes Generales) ","922 63 11 94","922 60 89 74","http://www.aytolalaguna.es","","2014-02-26 13:56:43","Lun.-Dom. : 09:00 - 17:00","Oficinas de información Turística","1","turismo.laguna.@cabtfe.es","San Cristóbal de la Laguna","../PublishingImages/oficina-de-turismo-de-la-laguna_388663.jpg","","","","","","","","",""
