PK;NOMBRE;DESCRIPCION-ENTIDAD;HORARIO;EQUIPAMIENTO;TRANSPORTE;DESCRIPCION;ACCESIBILIDAD;CONTENT-URL;NOMBRE-VIA;CLASE-VIAL;TIPO-NUM;NUM;PLANTA;PUERTA;ESCALERAS;ORIENTACION;LOCALIDAD;PROVINCIA;CODIGO-POSTAL;BARRIO;DISTRITO;COORDENADA-X;COORDENADA-Y;LATITUD;LONGITUD;TELEFONO;FAX;EMAIL;TIPO;
19548;"Mercadillo en la vía pública de Avenida de Asturias (Distrito Tetuán)";"";"Domingos y festivos, de 9 a 14 horas";"";" Metro: Plaza de Castilla (líneas 1, 9, 10)   Bus: 42, 27, 124, 147, 70, 135, 173, 174 ";" Avenida de Asturias (Entre San Aquilino y Vía Límite).  ";"0";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=ea4092355c51c010VgnVCM2000000c205a0aRCRD";"ASTURIAS";"AVENIDA";"V";"2";"";"";"";"";"MADRID";"MADRID";"28029";"ALMENARA";"TETUAN";"441596";"4480015";"40.46687948276402";"-3.690220214214766";"";"";"";"/contenido/entidadesYorganismos/Comercios/MercadillosViaPublica"; 
21200;"Mercadillo en la vía pública de Avenida de Felipe II  (Distrito Salamanca)";"";"";"";" Metro: Goya  (líneas 2, 4)  Bus: 15, 21, 26, 43, 53, 61, 146, 152, 215 ";"";"0";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=009f92355c51c010VgnVCM2000000c205a0aRCRD";"FELIPE II";"AVENIDA";"V";"";"";"";"";"";"MADRID";"MADRID";"28009";"GOYA";"SALAMANCA";"442750";"4475279";"40.42429581104769";"-3.6761810611835473";"";"";"";"/contenido/entidadesYorganismos/Comercios/MercadillosViaPublica"; 
19529;"Mercadillo en la vía pública de Avenida del General Fanjul (Distrito Latina)";"";"Sábados de 9 a 14 horas";"";"Metro: Aluche Bus: 17 , 117 , 121 , 131 , 135 , 139, 155 Renfe: Aluche";"";"0";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=d21092355c51c010VgnVCM2000000c205a0aRCRD";"GENERAL FANJUL";"AVENIDA";"V";"";"";"";"";"";"MADRID";"MADRID";"28044";"LAS AGUILAS";"LATINA";"435440";"4470991";"40.38513183038149";"-3.761911556533903";"S/T";"";"";"/contenido/entidadesYorganismos/Comercios/MercadillosViaPublica"; 
19633;"Mercadillo en la vía pública de Camino de las Cruces (Distrito Carabanchel)";"";"Lunes de 9 a 14 horas, excepto festivos.";"";" Bus: 34 , 35 , 47 , 139  Metro: La Peseta (L11) ";"";"0";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=65bf92355c51c010VgnVCM2000000c205a0aRCRD";"DE LAS CRUCES";"CAMINO";"S/N";"";"";"";"";"APARCAMIENTO CAMINO DE LAS CRUCES";"MADRID";"MADRID";"28044";"BUENAVISTA";"CARABANCHEL";"435534";"4469162";"40.368662723362654";"-3.7606188753157817";"";"";"";"/contenido/entidadesYorganismos/Comercios/MercadillosViaPublica"; 
19542;"Mercadillo en la vía pública de El Pardo (Distrito Fuencarral - El Pardo)";"";"Viernes de 9 a 14 horas";"";"Bus: Línea 601 (empresa Alacuber)";"";"0";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=18cf92355c51c010VgnVCM2000000c205a0aRCRD";"SAN LEANDRO";"CALLE";"V";"";"";"";"";"";"MADRID";"MADRID";"28048";"EL PARDO";"FUENCARRAL-EL PARDO";"434352";"4485817";"40.51860328705264";"-3.7762641448004857";"";"";"";"/contenido/entidadesYorganismos/Comercios/MercadillosViaPublica"; 
19736;"Mercadillo en la vía pública de Gorrión (Distrito Carabanchel)";"";"Lunes de 9 a 14 horas, excepto festivos.";"";" Bus: 17 , 25 , 119  Metro: Urgel (L5) ";"";"0";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=852092355c51c010VgnVCM2000000c205a0aRCRD";"GORRION";"CALLE";"V";"";"";"";"";"";"MADRID";"MADRID";"28019";"SAN ISIDRO";"CARABANCHEL";"438372";"4472167";"40.395948213960246";"-3.727484803680605";"";"";"";"/contenido/entidadesYorganismos/Comercios/MercadillosViaPublica"; 
19732;"Mercadillo en la vía pública de la calle Alcorisa - Camino Silvano (Distrito Hortaleza)";"";"Martes de 9 a 14 horas.";"";" Metro: Canillas  Bus: 112 , 120 , 122 , 153 ";"";"0";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=cadf92355c51c010VgnVCM2000000c205a0aRCRD";"ALCORISA";"CALLE";"V";"";"";"";"";"";"MADRID";"MADRID";"28043";"CANILLAS";"HORTALEZA";"445746";"4479693";"40.46426068389386";"-3.6412430222431516";"";"";"";"/contenido/entidadesYorganismos/Comercios/MercadillosViaPublica"; 
19734;"Mercadillo en la vía pública de la calle Aragoneses (Distrito Puente Vallecas)";"";"Lunes de 9 a 14 horas";"";"Bus: 10 , 144 , 310";"";"0";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=aa6f92355c51c010VgnVCM2000000c205a0aRCRD";"ARAGONESES";"CALLE";"V";"";"";"";"";"";"MADRID";"MADRID";"28018";"PALOMERAS SURESTE";"PUENTE DE VALLECAS";"445452";"4470602";"40.38234447287553";"-3.643929214820054";"S/T";"";"";"/contenido/entidadesYorganismos/Comercios/MercadillosViaPublica"; 
19731;"Mercadillo en la vía pública de la calle Ayerbe (Distrito Barajas)";"";"Sábados de 9 a 14 horas. Excepto durante las fiestas del distrito que se celebran en septiembre.";"";"Bus: 105 , 112, 115";"";"0";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=b2af92355c51c010VgnVCM2000000c205a0aRCRD";"AYERBE";"CALLE";"V";"";"";"";"";"";"MADRID";"MADRID";"28042";"CASCO H.BARAJAS";"BARAJAS";"450824";"4480090";"40.46815385868768";"-3.5813800917075365";"";"";"";"/contenido/entidadesYorganismos/Comercios/MercadillosViaPublica"; 
19547;"Mercadillo en la vía pública de la calle Gandhi (Distrito Ciudad Lineal)";"";"Viernes de 9 a 14 horas";"";" Metro: García Noblejas (línea 7)  Bus: 70, 109 ";"";"0";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=200092355c51c010VgnVCM2000000c205a0aRCRD";"GANDHI";"CALLE";"V";"";"";"";"";"";"MADRID";"MADRID";"28017";"PUEBLO NUEVO";"CIUDAD LINEAL";"446061";"4475264";"40.42438236477846";"-3.6371508431284245";"";"";"";"/contenido/entidadesYorganismos/Comercios/MercadillosViaPublica"; 
19531;"Mercadillo en la vía pública de la calle San Román del Valle (Distrito San Blas - Canillejas)";"";"Martes de 9 a 14 horas";"";"Bus: 4 , 38 , 48 , 106 , 140";"";"0";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=5d7f92355c51c010VgnVCM2000000c205a0aRCRD";"SAN ROMAN DEL VALLE";"CALLE";"V";"";"";"";"";"";"MADRID";"MADRID";"28037";"ARCOS";"SAN BLAS-CANILLEJAS";"447365";"4474799";"40.42027705095574";"-3.621741078700336";"S/T";"";"";"/contenido/entidadesYorganismos/Comercios/MercadillosViaPublica"; 
19537;"Mercadillo en la vía pública de la calle Santa Genoveva (Distrito Ciudad Lineal)";"";"Jueves y sábados de 9 a 14 horas, excepto durante las fiestas del Distrito celebradas durante dos semanas de septiembre.";"";" Bus: 15, 28, 106, 110, 113, 210  Metro: La Elipa (línea 2) ";"";"0";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=bdc092355c51c010VgnVCM2000000c205a0aRCRD";"SANTA GENOVEVA";"CALLE";"V";"";"";"";"";"";"MADRID";"MADRID";"28017";"VENTAS";"CIUDAD LINEAL";"445056";"4475247";"40.424163323965914";"-3.648995991667824";"";"";"";"/contenido/entidadesYorganismos/Comercios/MercadillosViaPublica"; 
19486;"Mercadillo en la vía pública de la calle Sierra Gorda (Distrito Villa de Vallecas)";"";"Martes de 9 a 14 horas";"";"Metro: Villa de Vallecas  Bus: 54 , 58, 103 , 130 , 142 , 143";"";"0";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=60e092355c51c010VgnVCM2000000c205a0aRCRD";"SIERRA GORDA";"CALLE";"V";"";"";"";"";"";"MADRID";"MADRID";"28031";"CASCO H.VALLECAS";"VILLA DE VALLECAS";"447619";"4470386";"40.38053793228516";"-3.618383301762883";"";"";"";"/contenido/entidadesYorganismos/Comercios/MercadillosViaPublica"; 
19550;"Mercadillo en la vía pública de la calle Villablanca (Distrito Vicálvaro)";"";"Jueves de 9 a 14 horas, excepto jueves santo y fiestas del Distrito (celebradas en junio)";"";" Metro: Puerta de Arganda (L9), San Cipriano (L9), Vicalvaro (L9)  Bus: 4 , 71 , 100 , 106   Renfe: Vicálvaro ";"";"0";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=f28092355c51c010VgnVCM2000000c205a0aRCRD";"VILLABLANCA";"CALLE";"V";"";"";"";"";"";"MADRID";"MADRID";"28032";"AMBROZ";"VICALVARO";"448471";"4473573";"40.40930182229157";"-3.608605091516184";"";"";"";"/contenido/entidadesYorganismos/Comercios/MercadillosViaPublica"; 
19530;"Mercadillo en la vía pública de la Ciudad de los Ángeles (Distrito Villaverde)";"";"Jueves de 9 a 14 horas";"";" Bus: 18 , 22 , 59 , 79 , 85, 86   Metro: Ciudad de los Angeles (L3) ";"";"0";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=383092355c51c010VgnVCM2000000c205a0aRCRD";"GIGANTES Y CABEZUDOS";"PASEO";"V";"2";"";"";"";"";"MADRID";"MADRID";"28021";"LOS ANGELES";"VILLAVERDE";"441171";"4468246";"40.36082848154261";"-3.6941427430393188";"";"";"";"/contenido/entidadesYorganismos/Comercios/MercadillosViaPublica"; 
181296;"Mercadillo en la vía pública de la Colonia Marconi (Distrito Villaverde)";"";"Domingos de 9 a 14 horas";"";" Bus: 79  Renfe Cercanias: San Cristobal Industrial ";"";"0";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=96645c2cdc41c010VgnVCM2000000c205a0aRCRD";"SAN EUSTAQUIO";"CALLE";"V";"";"";"";"";"";"MADRID";"MADRID";"28021";"SAN ANDRES";"VILLAVERDE";"440499";"4465792";"40.33867365779209";"-3.7018273278768383";"";"";"";"/contenido/entidadesYorganismos/Comercios/MercadillosViaPublica"; 
19629;"Mercadillo en la vía pública de Orcasur (Distrito Usera)";"";"Sábados de 9 a 14 horas";"";" Bus: 76, 78, 81, 116, 121  Renfe: Orcasitas  Metro: San Fermin-Orcasur ";"";"0";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=9d5092355c51c010VgnVCM2000000c205a0aRCRD";"ORCASUR";"AVENIDA";"V";"";"";"";"";"";"MADRID";"MADRID";"28041";"ORCASUR";"USERA";"440633";"4469310";"40.370375385906094";"-3.7005777219104656";"";"";"";"/contenido/entidadesYorganismos/Comercios/MercadillosViaPublica"; 
63209;"Mercadillo en la Vía Pública de Parque de la Cornisa (Distrito Centro)";"";" Todos los martes y sábados no festivos de 9 a 14 horas ";"";" Metro: La Latina , Puerta de Toledo   Bus: 3, 17, 18, 23, 41, 60, 148 ";"  Trasladado provisionalmente a la Plaza del Campillo del Mundo Nuevo  ";"0";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=68f2e7510551c010VgnVCM2000000c205a0aRCRD";"CAMPILLO DEL MUNDO NUEVO";"PLAZA";"V";"";"";"";"";"";"MADRID";"MADRID";"28005";"EMBAJADORES";"CENTRO";"440025";"4473378";"40.406978389271316";"-3.708122543471612";"";"";"";"/contenido/entidadesYorganismos/Comercios/MercadillosViaPublica"; 
19631;"Mercadillo en la vía pública de Ronda del Sur (Distrito Puente de Vallecas)";"";"Domingos de 9 a 14 horas";"";"Bus: 102, 111";"";"0";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=407092355c51c010VgnVCM2000000c205a0aRCRD";"SUR";"RONDA";"V";"";"";"";"";"HASTA CALLE ANDÉVALO";"MADRID";"MADRID";"28053";"ENTREVIAS";"PUENTE DE VALLECAS";"442414";"4470324";"40.37963526372219";"-3.6796925817342316";"";"";"";"/contenido/entidadesYorganismos/Comercios/MercadillosViaPublica"; 
19476;"Mercadillo en la vía pública de San Cristóbal de los Ángeles (Distrito Villaverde)";"";"Jueves de 9 a 14 horas";"";" Bus: 59 , 79  Metro: San Cristóbal de los Ángeles (L3)  Renfe: San Cristóbal de los Ángeles  ";"";"0";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=a59092355c51c010VgnVCM2000000c205a0aRCRD";"BURJASOT";"CALLE";"V";"1";"";"";"";"";"MADRID";"MADRID";"28021";"SAN CRISTOBAL";"VILLAVERDE";"441773";"4466431";"40.34452019989438";"-3.686887364713823";"";"";"";"/contenido/entidadesYorganismos/Comercios/MercadillosViaPublica"; 
19536;"Mercadillo en la vía pública de San Restituto (Distrito Moncloa-Aravaca)";"";"Jueves de 9 a 14 horas";"";" Metro: Valdezarza   Bus: 126 , 128 , 132 ";"";"0";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=58a092355c51c010VgnVCM2000000c205a0aRCRD";"SAN RESTITUTO";"CALLE";"V";"";"";"";"";"";"MADRID";"MADRID";"28039";"VALDEZARZA";"MONCLOA-ARAVACA";"439945";"4479733";"40.46422119022123";"-3.7096669650350433";"";"";"";"/contenido/entidadesYorganismos/Comercios/MercadillosViaPublica"; 
19484;"Mercadillo en la vía pública de Santa Ana (Distrito Fuencarral - El Pardo)";"";"Miércoles de 9 a 14 horas";"";" Metro: Fuencarral   Bus: 66, 137 ";"";"0";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=0bb092355c51c010VgnVCM2000000c205a0aRCRD";"SAN CUGAT DEL VALLES";"CALLE";"V";"";"";"";"";"";"MADRID";"MADRID";"28034";"VALVERDE";"FUENCARRAL-EL PARDO";"441389";"4483423";"40.49756546999504";"-3.6929774254191825";"";"";"";"/contenido/entidadesYorganismos/Comercios/MercadillosViaPublica"; 
19491;"Mercadillo en la vía pública de Villaverde Alto";"";"Sábados de 9 a 14 horas";"";" Bus: 22  Renfe: Puente Alcocer ";"";"0";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=c50192355c51c010VgnVCM2000000c205a0aRCRD";"FERROVIARIOS";"PASEO";"V";"";"";"";"";"";"MADRID";"MADRID";"28021";"SAN ANDRES";"VILLAVERDE";"439407";"4466908";"40.34864849630988";"-3.7147891121798233";"";"";"";"/contenido/entidadesYorganismos/Comercios/MercadillosViaPublica"; 
19489;"Mercadillo en la vía pública de Vía Lusitana (Distrito Carabanchel)";"";"Jueves de 9 a 14 horas, excepto festivos.";"";" Metro: Plaza Elíptica (L6, L11)  Bus: 47, 55, 60, 81, 116, 247 ";"";"0";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=13f092355c51c010VgnVCM2000000c205a0aRCRD";"VIA LUSITANA";"CALLE";"V";"";"";"";"";"";"MADRID";"MADRID";"28025";"ABRANTES";"CARABANCHEL";"438924";"4470755";"40.38322268627912";"-3.7210449941102177";"";"";"";"/contenido/entidadesYorganismos/Comercios/MercadillosViaPublica"; 
19549;"Mercadillo en la vía pública Fontarrón (Distrito Puente de Vallecas)";"";"Jueves de 9 a 14 horas";"";"Bus: 54 , 141 , 143";"";"0";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=7def92355c51c010VgnVCM2000000c205a0aRCRD";"RAMON PEREZ DE AYALA";"CALLE";"V";"";"";"";"";"";"MADRID";"MADRID";"28038";"NUMANCIA";"PUENTE DE VALLECAS";"444568";"4472254";"40.39716823152658";"-3.654487088772524";"";"";"";"/contenido/entidadesYorganismos/Comercios/MercadillosViaPublica"; 
