PK;NOMBRE;DESCRIPCION-ENTIDAD;HORARIO;EQUIPAMIENTO;TRANSPORTE;DESCRIPCION;ACCESIBILIDAD;CONTENT-URL;NOMBRE-VIA;CLASE-VIAL;TIPO-NUM;NUM;PLANTA;PUERTA;ESCALERAS;ORIENTACION;LOCALIDAD;PROVINCIA;CODIGO-POSTAL;BARRIO;DISTRITO;COORDENADA-X;COORDENADA-Y;LATITUD;LONGITUD;TELEFONO;FAX;EMAIL;TIPO;
1637;"Casa de Galicia";"";"   Atención al ciudadano:  de lunes a viernes de 9 a 14 horas    Oficina de Turismo:  de lunes a jueves de 9 a 14 horas y de 16 a 19 horas. Viernes, de 8 a 15 horas. Agosto de 9 a 14 horas de lunes a viernes   Exposiciones:  de lunes a sábado de 10 a 14 y de 16 a 20 horas. Domingos y festivos de 10 a 14 horas  ";"";"Bus: 10 , 14 , 19 , 27 , 34 , 37 , 45";"";"0";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=b6f40a47f441f010VgnVCM2000000c205a0aRCRD";"CASADO DEL ALISAL";"CALLE";"V";"8";"";"";"";"";"MADRID";"MADRID";"28014";"LOS JERONIMOS";"RETIRO";"441517";"4474128";"40.413841115871094";"-3.6906090973201957";"915 954 200 (Centralita)      
915 954 214 (Turismo)";"915 954 233 (Secretaría)";"cii.oficinaturismo.madrid@xunta.es";"/contenido/entidadesYorganismos/OficinasTurismo"; 
4574232;"Centro de Turismo Colón";" Se trata del punto de Información turística más grande de Madrid. Situado en una ubicación idónea: junto al Paseo de Recoletos, el famoso Paseo del Arte, el Teatro Fernán Gómez, el Museo Arqueológico y la Biblioteca Nacional consiste en un espacio accesible con zonas de atención al público y salas de reunión en donde se celebran exposiciones temporales y proyecciones turísticas y culturales.  Obra del arquitecto portugués Álvaro Siza, cuenta con 1.017 m2 de superficie dotados con modernas tecnologías para atender las demandas de información turística de los visitantes de Madrid.   Denominación oficial : Centro de Turismo Colón ";" De lunes a domingo de 9:30 a 20:30 horas ";" Centro de turismo.   Atención presencial  Atención especializada  Autoconsulta  Área tecnológica: acceso gratuito a Internet, WIFI  Accesibilidad: mapas en 3D, mostradores adaptados  Certificado  ICTE  de Q de calidad turística Norma  UNE  187003:2008  ";" Metro: Colón (línea 4), Serrano (línea 4)  Bus: 5 , 14 , 21, 27 , 37, 45 , 53 , 150   Renfe: Recoletos ";"";"1";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=4fd0853969572110VgnVCM2000000c205a0aRCRD";"COLON";"PLAZA";"V";"1";"";"";"";"Paso subterráneo del Paseo de la Castellana, accesos, C/ Génova y C/ Goya";"MADRID";"MADRID";"28046";"JUSTICIA";"CENTRO";"441477";"4475368";"40.42500882822323";"-3.6911948422827687";"914 544 410 (información turística y Programa de Visitas Guiadas Oficiales)                            
";"";"turismo@esmadrid.com";"/contenido/entidadesYorganismos/OficinasTurismo"; 
7805;"Centro de Turismo Plaza Mayor";"";" De lunes a domingo de 9:30 a 20:30 horas.  Venta de entradas para el Programa de Visitas Guiadas Oficiales en el Centro de turismo de lunes a domingo de 9:30 a 20:30 horas. ";"  Atención presencial: especial idiomas asiáticos y ruso  Atención especializada  Autoconsulta  Programa Visitas Guiadas Oficiales  Área tecnológica: audiovisuales, acceso gratuito a Internet, WIFI  Accesibilidad: lengua de signos española, bucle magnético, encaminamientos podotáctiles, rótulos y folletos en braille, asientos ergonómicos, apoyos isquiáticos, mostradores adaptados, guía de turismo accesible  Tienda de Madrid con productos oficiales (tarjeta turística MadridCard y Bus Turístico); libros, camisetas,  CD&rsquo;s , etc.  Certificado  ICTE  de Q de calidad turística Norma  UNE  187003:2008  Certificado  AENOR  de Accesibilidad Universal Norma  UNE  170001-2:2007   ";" Metro: Sol (líneas 1, 2, 3), Ópera (línea 2, 5, Ramal)  Bus: 3, 5, 6, 15, 17, 18, 20, 23, 31, 32, 35, 50, 51, 52, 53, 65, 150  Renfe: Sol ";"";"1";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=b0a093e5fd61c010VgnVCM1000000b205a0aRCRD";"MAYOR";"PLAZA";"V";"27";"";"";"";"Casa de la Panadería";"MADRID";"MADRID";"28012";"SOL";"CENTRO";"440092";"4474361";"40.41583855082183";"-3.7074257084323636";"914 544 410 (información turística y Programa Visitas Guiadas Oficiales)                                 
";"";"turismo@esmadrid.com";"/contenido/entidadesYorganismos/OficinasTurismo"; 
7846;"Delegación de la Generalitat de Cataluña. Oficina de Turismo";"";"De lunes a viernes de 10:30 a 15 y de 16 a 19:30 horas. ";"";" Metro: Banco de España (línea 2)  Bus: 5 , 9 , 52 , 53 , 146 , 150 ";"";"0";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=5c4c19d41471c010VgnVCM1000000b205a0aRCRD";"ALCALA";"CALLE";"V";"44";"";"";"";"";"MADRID";"MADRID";"28014";"CORTES";"CENTRO";"441066";"4474616";"40.4182053857487";"-3.6959697554881874";"915 241 892 (Oficina de turismo)        
";"";"turisme.blanquerna@gencat.cat";"/contenido/entidadesYorganismos/OficinasTurismo"; 
181660;"Delegación y Oficina de Turismo de la Región de Murcia";"";"De  lunes a jueves de 11 a 14 y de 18 a 20 horas. Viernes de 10:30 a 14 horas.";"";" Metro: Santo Domingo (línea 2).  Bus: 133, 147, 3.  ";"";"0";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=eeb80e4e6d41c010VgnVCM2000000c205a0aRCRD";"DE LOS ANGELES";"COSTANILLA";"V";"13";"3º";"";"";"";"MADRID";"MADRID";"28013";"PALACIO";"CENTRO";"440033";"4474754";"40.41937461925095";"-3.708158204262361";"915 427 130       
";"";"casamadrid@murciaenmadrid.org";"/contenido/entidadesYorganismos/OficinasTurismo"; 
75606;"Oficina Central de Reservas e Información de la Comunidad de Madrid";"";"De lunes a viernes de 9 a 14 horas";"";" Metro: Banco de España (línea 2)  Bus: 1, 2, 9, 20, 27, 51, 52, 53, 146, 202, 203 ";"";"0";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=aff896e2cf41c010VgnVCM2000000c205a0aRCRD";"RECOLETOS";"PASEO";"V";"7 - 9";"";"";"";"";"MADRID";"MADRID";"28004";"JUSTICIA";"CENTRO";"441319";"4474900";"40.42078170853056";"-3.693014026757309";"912 767 478";"912 767 516";"";"/contenido/entidadesYorganismos/OficinasTurismo"; 
181586;"Oficina de Relaciones Institucionales del Gobierno de Canarias";"";"De lunes a viernes de 9 a 15 horas";"";" Metro: Banco de España (línea 2)  Bus: 10 , 14 , 27 , 34 , 37 , 45  ";"";"0";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=8f480e4e6d41c010VgnVCM2000000c205a0aRCRD";"FERNANFLOR";"CALLE";"V";"8";"BAJA";"";"";"";"MADRID";"MADRID";"28014";"CORTES";"CENTRO";"441062";"4474441";"40.41662861702532";"-3.696000655612809";"913 893 000";"";"dlgmadrid.pg@gobiernodecanarias.org";"/contenido/entidadesYorganismos/OficinasTurismo"; 
7809;"Oficina de Turismo de Alemania";"";"Consultar telefónicamente";"";" Metro: Antón Martín (línea 1), Sol (líneas 1, 2, 3)  Bus: 5, 9, 10, 14, 15, 20, 27, 34, 37, 45, 51, 52, 53, 146, 150 ";"";"0";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=120c19d41471c010VgnVCM1000000b205a0aRCRD";"SAN AGUSTIN";"CALLE";"V";"2";"1º A";"Dcha.";"";"";"MADRID";"MADRID";"28014";"CORTES";"CENTRO";"440976";"4474277";"40.415145119026725";"-3.6969990236222245";"914 293 551";"914 202 450";"";"/contenido/entidadesYorganismos/OficinasTurismo"; 
27402;"Oficina de Turismo de Andorra";"";"Consultar telefónicamente";"";" Metro: Retiro (línea 2)  Bus: 1, 2, 9, 15, 20, 28, 51, 52, 74, 146, 202 ";"";"0";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=eb68444a2951c010VgnVCM2000000c205a0aRCRD";"ALCALA";"CALLE";"V";"73";"";"";"";"";"MADRID";"MADRID";"28009";"RECOLETOS";"SALAMANCA";"441795";"4474861";"40.420463872305014";"-3.6873998628244578";"914 317 453 ";"915 776 341";"";"/contenido/entidadesYorganismos/OficinasTurismo"; 
164524;"Oficina de Turismo de Argentina";"";"Consultar telefónicamente";"";" Metro: Ventura Rodríguez (línea 3), Princesa (líneas 3, 10)  Bus: 1, 2, 44, 133, 202, C ";"";"0";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=fcf98f90a581c010VgnVCM1000000b205a0aRCRD";"PRINCESA";"CALLE";"V";"12";"";"";"";"";"MADRID";"MADRID";"28008";"UNIVERSIDAD";"CENTRO";"439666";"4475467";"40.4257710639095";"-3.712551676224903";"915 414 447";"";"oficinamadrid@argentina.travel";"/contenido/entidadesYorganismos/OficinasTurismo"; 
