PK;NOMBRE;DESCRIPCION-ENTIDAD;HORARIO;EQUIPAMIENTO;TRANSPORTE;DESCRIPCION;ACCESIBILIDAD;CONTENT-URL;NOMBRE-VIA;CLASE-VIAL;TIPO-NUM;NUM;PLANTA;PUERTA;ESCALERAS;ORIENTACION;LOCALIDAD;PROVINCIA;CODIGO-POSTAL;BARRIO;DISTRITO;COORDENADA-X;COORDENADA-Y;LATITUD;LONGITUD;TELEFONO;FAX;EMAIL;TIPO;
13470;Aparcamiento mixto. Arquitecto Ribera;;;;;  Plazas:  318 públicas y 298 para residentes  Abierto 24 horas   Titularidad:  Ayuntamiento de Madrid ;0;http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=a50e15cbed51c010VgnVCM2000000c205a0aRCRD;BARCELO;CALLE;V;2;;;;;MADRID;MADRID;28004;JUSTICIA;CENTRO;440764;4475560;40.426.687.899.755.700;-36.996.173.701.222.400;;;;/contenido/entidadesYorganismos/AparcamientosResidentes; 
59060;Aparcamiento mixto. Avenida de América (intercambiador);;;;;  Plazas : 269 públicas y 392 para residentes  Abierto 24 horas   Titularidad : Ayuntamiento de Madrid ;0;http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=3f3bc2c6e051c010VgnVCM2000000c205a0aRCRD;PRADENA DEL RINCON;CALLE;V;4;;;;c/v avenida de América;MADRID;MADRID;28002;PROSPERIDAD;CHAMARTIN;442725;4476896;4.043.886.083.125.740;-36.766.217.383.743.300;;;;/contenido/entidadesYorganismos/AparcamientosResidentes; 
5898885;Aparcamiento mixto. Avenida de Portugal;;;;;  Plazas:  433 públicas y 437 para residentes  Abierto 24 horas   Titularidad:  Ayuntamiento de Madrid ;0;http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=c313e26f2b3fc210VgnVCM2000000c205a0aRCRD;PORTUGAL;AVENIDA;V;155;;;;;MADRID;MADRID;28011;PUERTA DEL ANGEL;LATINA;437508;4473865;40.411.180.021.966.300;-37.378.318.857.463.100;;;;/contenido/entidadesYorganismos/AparcamientosPublicos; 
13459;Aparcamiento mixto. Benavente;;;;;  Plazas:  285 públicas y 110 para residentes  Abierto 24 horas  Admite Tarjeta Bono Red    Titularidad:  Ayuntamiento de Madrid ;0;http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=c48f15cbed51c010VgnVCM2000000c205a0aRCRD;JACINTO BENAVENTE;PLAZA;V;6;;;;;MADRID;MADRID;28012;CORTES;CENTRO;440439;4474203;4.041.444.016.371.450;-370.332.112.917.586;;;;/contenido/entidadesYorganismos/AparcamientosResidentes; 
13475;Aparcamiento mixto. Brasil;;;;;  Plazas:  226 públicas y 400 para residentes  Abierto 24 horas   Titularidad:  Ayuntamiento de Madrid ;0;http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=fb2e15cbed51c010VgnVCM2000000c205a0aRCRD;"GENERAL YAG&Uuml;E";CALLE;V;11;;;;;MADRID;MADRID;28020;CUATRO CAMINOS;TETUAN;441255;4478822;4.045.610.834.965.890;-3.694.131.675.088.480;;;;/contenido/entidadesYorganismos/AparcamientosResidentes; 
183747;Aparcamiento mixto. Casino de la Reina;;;;;  Plazas:  135 públicas y 449 para residentes  Abierto 24 horas   Titularidad:  Ayuntamiento de Madrid ;0;http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=c5f4bdc85c01c010VgnVCM2000000c205a0aRCRD;CASINO;CALLE;V;3;;;;;MADRID;MADRID;28005;EMBAJADORES;CENTRO;440323;4473355;40.406.792.648.617.100;-37.046.086.019.457.100;;;;/contenido/entidadesYorganismos/AparcamientosResidentes; 
13477;Aparcamiento mixto. Condesa de Gavia;;;;;  Plazas : 73 públicas y 79 para residentes   Abierto 24 horas   Titularidad : Ayuntamiento de Madrid ;0;http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=7e5f15cbed51c010VgnVCM2000000c205a0aRCRD;CONDESA DE GAVIA;PLAZA;V;0;;;;;MADRID;MADRID;28020;CUATRO CAMINOS;TETUAN;440589;4478081;4.044.938.567.948.410;-37.019.164.121.880.800;;;;/contenido/entidadesYorganismos/AparcamientosResidentes; 
24103;Aparcamiento mixto. Corazón de María II;;;;;  Plazas : 327 públicas y 750 para residentes  Abierto 24 horas   Titularidad : Ayuntamiento de Madrid ;0;http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=b74e6545f951c010VgnVCM2000000c205a0aRCRD;CORAZON DE MARIA;CALLE;V;46;;;;;MADRID;MADRID;28002;PROSPERIDAD;CHAMARTIN;443554;4477507;40.444.421.820.483.200;-3.666.902.094.780.130;;;;/contenido/entidadesYorganismos/AparcamientosResidentes; 
81736;Aparcamiento mixto. Corona Boreal;;;;;  Plazas : 120 públicas y 125 para residentes  Abierto 24 horas   Titularidad : Ayuntamiento de Madrid ;1;http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=db8bc2c6e051c010VgnVCM2000000c205a0aRCRD;PEREZ DE VICTORIA;CALLE;V;;;;;;MADRID;MADRID;28023;ARAVACA;MONCLOA-ARAVACA;433707;4479153;4.045.852.127.134.040;-378.317.943.069.732;;;;/contenido/entidadesYorganismos/AparcamientosResidentes; 
183748;Aparcamiento mixto. Daoíz y Velarde;;;;;  Plazas:  312 públicas y 174 para residentes  Abierto 24 horas   Titularidad:  Ayuntamiento de Madrid  ;0;http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=0f85bdc85c01c010VgnVCM2000000c205a0aRCRD;CIUDAD DE BARCELONA;AVENIDA;V;3;;;;;MADRID;MADRID;28007;PACIFICO;RETIRO;442108;4473177;4.040.531.540.835.350;-3.683.557.034.656.530;S/T;;;/contenido/entidadesYorganismos/AparcamientosResidentes; 
